# time [s],current [A],voltage [V],temperature [K],c_p_avg [mol/m^3],c_n_avg [mol/m^3]
3203.5,-15,3.74602634800963,297.048553128535,39803.2873484753,10673.3628337443
3204,-15,3.74599932202239,297.048384979641,39804.9341848894,10671.5317741101
3204.5,-15,3.74597229603515,297.048216830747,39806.5810213034,10669.7007144758
3205,-15,3.74594527004791,297.048048681853,39808.2278577175,10667.8696548416
3205.5,-15,3.74591824406067,297.047880532959,39809.8746941316,10666.0385952074
3206,-15,3.74589121807343,297.047712384065,39811.5215305457,10664.2075355732
3206.5,-15,3.74586419208619,297.047544235171,39813.1683669597,10662.376475939
3207,-15,3.74583716609895,297.047376086277,39814.8152033738,10660.5454163047
3207.5,-15,3.74581014011171,297.047207937383,39816.4620397879,10658.7143566705
3208,-15,3.74578311412447,297.047039788489,39818.108876202,10656.8832970363
3208.5,-15,3.74575608813723,297.046871639595,39819.755712616,10655.0522374021
3209,-15,3.74572906214999,297.046703490701,39821.4025490301,10653.2211777678
3209.5,-15,3.74570203616276,297.046535341807,39823.0493854442,10651.3901181336
3210,-15,3.74567501017552,297.046367192913,39824.6962218583,10649.5590584994
3210.5,-15,3.74564798418828,297.046199044019,39826.3430582723,10647.7279988652
3211,-15,3.74562095820104,297.046030895125,39827.9898946864,10645.896939231
3211.5,-15,3.7455939322138,297.045862746231,39829.6367311005,10644.0658795967
3212,-15,3.74556690622656,297.045694597337,39831.2835675145,10642.2348199625
3212.5,-15,3.74553988023932,297.045526448443,39832.9304039286,10640.4037603283
3213,-15,3.74551285425208,297.045358299549,39834.5772403427,10638.5727006941
3213.5,-15,3.74548582826484,297.045190150655,39836.2240767568,10636.7416410599
3214,-15,3.7454588022776,297.045022001761,39837.8709131708,10634.9105814256
3214.5,-15,3.74543177629036,297.044853852867,39839.5177495849,10633.0795217914
3215,-15,3.74540475030313,297.044685703973,39841.164585999,10631.2484621572
3215.5,-15,3.74537772431589,297.044517555079,39842.8114224131,10629.417402523
3216,-15,3.74535069832865,297.044349406185,39844.4582588271,10627.5863428887
3216.5,-15,3.74532367234141,297.044181257291,39846.1050952412,10625.7552832545
